lattice,version,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU,energy,hand,additive
22,sup_inf_attribute,0.4005326139425045,0.8348888232682944,1.0,1.0,0.784121706632823,0.4081573618779593,0.6453102121727826,0.4,1.0,0.2889737788316927,0.6,1471.9720304670195,2.59,True
22,sup_inf_doubly,0.3579140731489322,0.7178555200999734,1.0,1.0,0.8147329712131023,0.3579140731489323,0.6796020069055346,0.2727272727272727,1.0,0.2917076391568005,0.6,1266.867958673027,1.17,True
22,dim_draw,0.3154779935709219,0.8333333333333334,1.0,1.0,0.8447498499149687,0.3154779935709222,0.6907013390508767,0.2727272727272727,1.0,0.3333333333333331,0.8,1369.34730581585,0.67,True
22,dim_flux,0.380498666612149,0.7390317146115657,1.0,1.0,0.8148448538480447,0.3804986666121612,0.6776261524893785,0.2727272727272727,1.0,0.2586538240635819,0.6,1297.937231531475,0.92,True
23,hand_drawn,0.375,0.6666666666666666,1.0,1.0,0.8590692997500945,0.4285714285714286,0.782990370500236,0.3684210526315789,1.0,0.3333333333333333,0.6,1484.9798440303553,0.0,True
23,sup_inf_attribute,0.5028198020697592,0.6536129516868849,1.0,1.0,0.8411968782889209,0.5737635566149751,0.7322008366567903,0.4444444444444444,1.0,0.240237927829132,0.6,1509.4999583322403,1.11,True
23,sup_inf_doubly,0.4177678113162282,0.7123596769425421,1.0,1.0,0.8596321227712771,0.4815554135929605,0.7784466004757828,0.5294117647058824,1.0,0.2804667883848958,0.6,1461.6620505040416,0.48,True
23,dim_draw,0.375,0.8,1.0,1.0,0.8037542076411595,0.4285714285714286,0.769301666990402,0.3684210526315789,1.0,0.1999999999999999,0.6,1510.4494560237492,0.97,True
23,dim_flux,0.4383342464300616,0.7040049503215097,1.0,1.0,0.8637367266422551,0.4851969779344444,0.7703384534101101,0.5294117647058824,1.0,0.2816894152886033,0.6,1470.4205845456036,0.62,True
24,hand_drawn,0.5625,1.0,1.0,1.0,0.90228625680125,0.2222222222222222,0.7690823238023475,0.5238095238095238,1.0,0.3162277660168379,0.7142857142857143,2038.2796268255458,0.0,False
24,sup_inf_attribute,0.6318581457952601,0.8244738441216842,1.0,1.0,0.8605218381163825,0.3644819535285633,0.7600282883921523,0.5238095238095238,1.0,0.2079140956124612,0.7142857142857143,1810.4765574310495,1.80,True
24,sup_inf_doubly,0.5828422662124919,0.909550329411444,1.0,1.0,0.8896162163417781,0.2606732855987617,0.7754842898960447,0.6,1.0,0.2607871043546859,0.7142857142857143,1921.723602414982,0.72,True
24,dim_draw,0.4678229827295735,0.9999999999999998,1.0,1.0,0.8025113917588065,0.2627203510738101,0.7757785218711961,0.5238095238095238,1.0,0.2963744891819094,0.7142857142857143,2035.0278655351772,2.08,True
24,dim_flux,0.5837975280033352,0.9102839870444168,1.0,1.0,0.8871518081775296,0.2938944361140281,0.7793362091931594,0.6,1.0,0.256645439033714,0.7142857142857143,1923.6172184580905,0.72,True
25,hand_drawn,0.2048327646991335,1.0,1.0,1.0,0.7729483253898413,0.3788517254886963,0.6707145524354283,0.28,1.0,0.3333333333333333,0.5714285714285714,2322.7808701326826,0.0,True
25,sup_inf_attribute,0.2944911897731591,0.9996302270046284,1.0,1.0,0.8028666921456525,0.4672700487888384,0.6723964871174232,0.3333333333333333,1.0,0.2377572357390954,0.7142857142857143,2041.8992318823778,2.57,True
25,sup_inf_doubly,0.3519714270720777,0.8393436026426611,1.0,1.0,0.8424024438050352,0.4137661561072266,0.698973141033689,0.3333333333333333,1.0,0.3026190275773438,0.7142857142857143,1855.8378578343788,2.90,True
25,dim_draw,0.3154779935709225,0.8571428571428571,1.0,1.0,0.7688468940687502,0.3065722151046008,0.6757005111179026,0.391304347826087,1.0,0.2568848919569542,0.5714285714285714,2104.6379648317493,2.06,True
25,dim_flux,0.3637290451856175,0.8515498694486232,1.0,1.0,0.8533127224200111,0.4190983092630582,0.69748430078251,0.391304347826087,1.0,0.3080267386919126,0.8571428571428572,1853.884439652744,3.20,True
26,hand_drawn,0.5,0.5,1.0,1.0,0.8739280816353336,0.3333333333333333,0.9362234452896204,0.8461538461538461,1.0,0.25,0.6,1229.9631347385857,0.0,True
26,sup_inf_attribute,0.4529145070565511,0.3693677735011073,1.0,1.0,0.928587534607354,0.395986851345541,0.8947082645341401,0.8461538461538461,1.0,0.2222079991903168,0.6,1301.873054870321,0.62,True
26,sup_inf_doubly,0.4529146370120211,0.3693678770275311,1.0,1.0,0.9285875186833163,0.3959129870265446,0.8947082682599217,0.8461538461538461,1.0,0.2222080183695439,0.6,1301.8728852976838,0.62,True
26,dim_draw,0.3743340836219975,0.4,1.0,1.0,0.8114195153035549,0.5008878885040031,0.8754947639142113,0.8461538461538461,1.0,0.1999999999999999,0.6,1338.7740322205204,0.73,True
26,dim_flux,0.4529146932651716,0.3693679523416487,1.0,1.0,0.9285875955575004,0.3961137423131045,0.8947083146151208,0.8461538461538461,1.0,0.2222080623092239,0.6,1301.8729697791873,0.62,True
27,hand_drawn,0.75,0.5,1.0,1.0,1.0,0.0,0.9041281895891492,0.875,1.0,0.3535533905932738,0.7142857142857143,1898.2249899934075,0.0,True
27,sup_inf_attribute,0.6162696839451927,0.3766463664316492,1.0,1.0,0.9999999999570128,0.1783070880742556,0.9001657587429268,0.875,1.0,0.3129359090733677,0.8571428571428572,2110.768253794626,0.62,True
27,sup_inf_doubly,0.6162697025602428,0.376642657314812,1.0,1.0,0.9999999811992756,0.1783070815854366,0.9001657595361228,0.875,1.0,0.3129359026866712,0.8571428571428572,2110.76825176892,0.62,True
27,dim_draw,0.5615011254329967,0.3333333333333334,1.0,1.0,1.0,0.2513318327560047,0.8893756762880818,0.875,1.0,0.3004626062886657,0.7142857142857143,2203.6811365625754,0.83,True
27,dim_flux,0.6162696838338323,0.3764512355297769,1.0,1.0,0.9999999999999998,0.1783070882215567,0.9001657587249207,0.875,1.0,0.3129359090660159,0.7142857142857143,2110.7684135979384,0.62,True
28,hand_drawn,0.5,0.625,1.0,1.0,0.7728431410975932,0.375,0.8004042396100421,0.7647058823529411,1.0,0.25,0.7142857142857143,1959.316130767968,0.0,True
28,sup_inf_attribute,0.7304883553811616,0.858536505763038,1.0,1.0,0.9123494970107004,0.3093534034802264,0.8634094227501864,0.875,1.0,0.2931653531325749,0.5714285714285714,1704.6565896552952,2.16,True
