lattice,algo,AR,Asp,CA,EC,EL,EO,KSM,NP,NEO,NR,NU
11,hand_drawn,0.5,0.6666666666666666,1.0,1.0,0.8739280816353336,0.33333333333333337,0.8898064400736305,1.0,1.0,0.3333333333333333,1.0
11,sup_inf_attribute,0.6596748356159515,0.693947073873835,1.0,1.0,0.7841747817271957,0.4791447373913186,0.8141641612512776,0.8461538461538461,1.0,0.3115578826551022,0.8
11,sup_inf_double,0.5121741536854529,0.6686737174721322,1.0,1.0,0.9004446851757854,0.34946449926469614,0.8999100980516667,1.0,1.0,0.35712899660541336,1.0
11,dim_draw,0.5,0.8,1.0,1.0,0.7319441508020811,0.33333333333333337,0.8289677419726574,1.0,1.0,0.2,1.0
11,dim_draw_double,0.495499589979183,0.6599489883886928,1.0,1.0,0.8735718630846327,0.34964640038961736,0.8865087534381841,1.0,1.0,0.33151276642149036,1.0
12,hand_drawn,0.4375,0.8333333333333334,1.0,1.0,0.8078667748011418,0.2857142857142857,0.7332936066129274,0.4444444444444444,1.0,0.33333333333333337,0.8
12,sup_inf_attribute,0.7488522536107589,0.8820039790190229,1.0,1.0,0.7766612726029518,0.3181190546345378,0.7239848922360465,0.5294117647058824,1.0,0.30532494330282345,0.6
12,sup_inf_double,0.5844785552717381,0.9705855772033549,1.0,1.0,0.8484533016359261,0.31819558051784236,0.7593974808825882,0.5294117647058824,1.0,0.3733067782713562,0.8
12,dim_draw,0.5137630528101498,1.0,1.0,1.0,0.7565134242297153,0.28355128646835015,0.7200169431224035,0.4444444444444444,1.0,0.35876576102957297,0.8
12,dim_draw_double,0.5964808644444116,0.9751527194337292,1.0,1.0,0.8372040405712955,0.2939253513938521,0.7545433251359898,0.5294117647058824,1.0,0.36805111307000765,0.8
13,hand_drawn,0.625,1.0,1.0,1.0,0.7692307692307692,0.0,0.7409655286475014,0.5789473684210527,1.0,0.3535533905932738,0.5714285714285714
13,sup_inf_attribute,0.687506905509522,0.9857975998174007,1.0,1.0,0.8323362690018077,0.32471635702980983,0.7534315439212455,0.5789473684210527,1.0,0.3465679875398395,0.7142857142857143
13,sup_inf_double,0.5754741592804874,0.9400530010715509,1.0,1.0,0.854990844895421,0.2771971412195585,0.777300890018738,0.5789473684210527,1.0,0.3730838924733067,0.7142857142857143
13,dim_draw,0.521917701272431,0.9999999999999998,1.0,1.0,0.6845708376463943,0.23366610986786995,0.6816359374929919,0.5789473684210527,1.0,0.3004626062886657,0.5714285714285714
13,dim_draw_double,0.5756837526413847,0.9419768939788582,1.0,1.0,0.8594460025652227,0.27969254932780385,0.7779667226823103,0.5789473684210527,1.0,0.37619186756788126,0.8571428571428572
14,hand_drawn,0.5,0.625,1.0,1.0,0.7881736857080591,0.33333333333333337,0.8381372100012934,0.8461538461538461,1.0,0.25,0.6
14,sup_inf_attribute,0.6289658050445319,0.6174749762435745,1.0,1.0,0.8962254871318577,0.37545041715502125,0.8794554083368248,0.8461538461538461,1.0,0.304446081749108,0.6
14,sup_inf_double,0.5236512411786511,0.49771326954838485,1.0,1.0,0.9165165774964188,0.5066359037705421,0.9054345953862897,0.8461538461538461,1.0,0.3110434349327015,0.6
14,dim_draw,0.43716704181099875,0.6,1.0,1.0,0.7474464010011093,0.4171106109186683,0.7894051144217745,0.7142857142857143,1.0,0.1999999999999999,0.6
14,dim_draw_double,0.5231771086520796,0.48439287950558957,1.0,1.0,0.9214253896014958,0.5083023704865455,0.899889356469159,0.8461538461538461,1.0,0.305543707172991,0.8
15,hand_drawn,0.5778752813582491,0.8,1.0,1.0,0.7978243857009885,0.18783295818900125,0.8001736802685522,0.875,1.0,0.23826153477211773,0.7142857142857143
15,sup_inf_attribute,0.6790555125067644,0.6443180173471047,1.0,1.0,0.9057979793104503,0.3895768399514825,0.8580298276529107,0.875,1.0,0.29572272412202133,0.8571428571428572
15,sup_inf_double,0.6220146957299322,0.7282494551459145,1.0,1.0,0.9523200606234882,0.35895842091945396,0.8753268243976806,0.875,1.0,0.3057225439779067,0.5714285714285714
